Palabra,Largo de la Palabra,Tiempo A[s],Tiempo B[s],Tiempo A[ms],Tiempo B[ms]
ccbaababccacaacacbacaccaaacaababaccbbaaababcabcacacaabcabacaaaabbbbbaccabcabcabababbbacbabcbbaaacbaaaccabbbbbabbaacbcbbbaccaccbbcbacabccbabccbaaacaaabaccabbcbccbacccbcacaaacabbcabaabbcbbaaacbcacaacbcaaabbaabacaabaacbbacccbcaacacaacbacccacaacbabccbcaaccabbcaacaacabccbacabaccabbbbbabbcabcabbaacbccbacbbcbacaacacabbaaaacbbaacbcabacbaaacbbaaaabcccbacabcaaccbbaaacbbbcbcccbabaaaacaabccaaaabbba,389,2.924924000,0.017855000,2924.924,17.855
bcbcbbccabaaaaabcbbacabbaccccabbbaacaccaacbbabbccbaacbaccbabcbabcccbbabbbcbccaaaccc,83,0.027707000,0.000755000,27.707,0.755
aabbaaccbcabbacacbcccacbbbbcac,30,0.001366000,0.000108000,1.366,0.108
caccababacaacabcabcbbbcaacbcabcbaacabacbcbabbcbaaaaaaacabbccabbbbcbaabbbccbcbabcbcbbccabcbabcabacccacbaacbaabaccacaaacbaccbacabaccacbacbabccbbababababcbbbabcccbbba,163,0.191157000,0.003013000,191.157,3.013
bcbacacccaacaacabbacbcacacabbabbacbccaccacacacbabccabaaabacbacbabbcbcbabcccaaaababb,83,0.024999000,0.000869000,24.999,0.869
babccbcabcacbbbcaccbcaabbbababccbcbbabbbcbcbaaaabcacabbacbccbaaaaaacbbacacbaaacaccabbbbacbbcbbcbcccabccccbbccccbbacccaacccacaacbbbabcacbcbcccbbbbccbaacbabcabccabbcccbbbbbbcccccbaaababacaaacaabbbaaabacbaacaacbcbaaababbabcaacbabbabcabcccabacbcccabacbacccbcbcacbbbbaacbcbacaccbcbcbabbcaaacccccbcabcabbbcacaababaaaabaaccbabcbcababccacabacbababbaaaabacbcbaabbabbaccbbababaaabbabbb,375,2.318737000,0.018133000,2318.737,18.133
acbbabaabbbbbcababcaaaccacccccaccabbaaacccabcbcbbabaabcbbbcbaabbbabccacaccbbcbcaccacbcbbbacaaabcabaabbaabaacccaaaaccbbcaabacccbccaacaccbabcacbaacbababacacaaccbabbccbbabbaacccbacaa,179,0.244913000,0.002996000,244.913,2.996
caacbbabbcaabcaabbccccac,24,0.000636000,0.000067000,0.636,0.067
aaccbbccbcabaccabacbbabbcccbccaabbabbbaabacabccbbbcaaacabaaaccbbcccbabbcaccabbbcbcacabccbcbabcacabbcbbcbacccbcabbacbcaaabbccacaacccaccabbbababbbbbcaaacbccabbcbbcbccccbccabcacbbcabacacbaac,187,0.278641000,0.003453000,278.641,3.453
cacabbaaabcbcabcbacbababaabbcbabccbcacabcbaccbaacccacaacbaacbccacbbcbaaaaaacbaabbcbccbbbbbccbccbcbabaccccaaabaccacccacbcaaaaaaaaabcbcbacaabccacaabcccbcbaaababaaabbcbcbcacacbccaccabbcabbbacbaacaaabbabbccbbbbccaccbbbaaaccbcbacbbbcbaccabbbaaabacbbbaacaabcccbacbbcaaaccacbbababbacabcbccbacbabccaababcaaccccbacaaabaacababcbbbbbccabacbaaacccaaccbbcacbccbccabbbcaacbbcabbbbbcacacbaabcbcccbcaaabcbbaabbbbbaabbaabbbbbbcacbabcbaccabaccccccabcacacbbccabacbaccccbaababcaaababccccaaaaccbccbcbaccccacbaaccacacca,497,5.781118000,0.032728000,5781.118,32.728
