$ /bin/python /home/gerardo/Proyectos/palindromo/main.py

309 : Tiempo A:  3.905970335006714 seg   Tiempo B: 0.026358366012573242
310 : Tiempo A:  0.28679585456848145 seg         Tiempo B: 0.0037841796875
311 : Tiempo A:  0.1699821949005127 seg  Tiempo B: 0.002670764923095703
312 : Tiempo A:  2.1457672119140625e-05 seg      Tiempo B: 9.298324584960938e-06
313 : Tiempo A:  3.8723506927490234 seg  Tiempo B: 0.024155378341674805
314 : Tiempo A:  4.139443397521973 seg   Tiempo B: 0.026884078979492188
315 : Tiempo A:  4.727123498916626 seg   Tiempo B: 0.0279233455657959
316 : Tiempo A:  1.9831838607788086 seg  Tiempo B: 0.01499485969543457
317 : Tiempo A:  2.176720142364502 seg   Tiempo B: 0.014516353607177734
318 : Tiempo A:  0.17522597312927246 seg         Tiempo B: 0.002826690673828125
319 : Tiempo A:  0.00029778480529785156 seg      Tiempo B: 4.220008850097656e-05
320 : Tiempo A:  5.4089086055755615 seg  Tiempo B: 0.03177475929260254
321 : Tiempo A:  0.40694713592529297 seg         Tiempo B: 0.005614757537841797
322 : Tiempo A:  4.7357447147369385 seg  Tiempo B: 0.028736114501953125
323 : Tiempo A:  3.036375045776367 seg   Tiempo B: 0.018977642059326172
324 : Tiempo A:  0.06882619857788086 seg         Tiempo B: 0.0017113685607910156
325 : Tiempo A:  0.4914546012878418 seg  Tiempo B: 0.004990577697753906
326 : Tiempo A:  3.7445807456970215 seg  Tiempo B: 0.022980928421020508
327 : Tiempo A:  0.014837265014648438 seg        Tiempo B: 0.0004394054412841797
328 : Tiempo A:  3.2896933555603027 seg  Tiempo B: 0.020793676376342773
329 : Tiempo A:  5.841255187988281e-05 seg       Tiempo B: 1.9311904907226562e-05
330 : Tiempo A:  0.010712385177612305 seg        Tiempo B: 0.0003571510314941406
331 : Tiempo A:  1.6836094856262207 seg  Tiempo B: 0.01418304443359375
332 : Tiempo A:  3.4204983711242676 seg  Tiempo B: 0.02317333221435547
333 : Tiempo A:  4.018016338348389 seg   Tiempo B: 0.02382206916809082
334 : Tiempo A:  0.9326379299163818 seg  Tiempo B: 0.0076732635498046875
335 : Tiempo A:  0.6879262924194336 seg  Tiempo B: 0.005896329879760742
336 : Tiempo A:  4.166097402572632 seg   Tiempo B: 0.026071548461914062
337 : Tiempo A:  4.110125541687012 seg   Tiempo B: 0.02579522132873535
338 : Tiempo A:  3.3955235481262207 seg  Tiempo B: 0.022023677825927734
339 : Tiempo A:  0.09943723678588867 seg         Tiempo B: 0.0016605854034423828
340 : Tiempo A:  0.002537250518798828 seg        Tiempo B: 0.00016069412231445312
341 : Tiempo A:  0.9867804050445557 seg  Tiempo B: 0.009598016738891602
342 : Tiempo A:  6.229284286499023 seg   Tiempo B: 0.03199911117553711
343 : Tiempo A:  0.8045928478240967 seg  Tiempo B: 0.007049560546875
344 : Tiempo A:  3.280867338180542 seg   Tiempo B: 0.02575230598449707
345 : Tiempo A:  2.902757167816162 seg   Tiempo B: 0.019518375396728516
